id_student,region,code_module,code_presentation,age_band,final_result,score,sum_click,module
6516,Scotland,AAA,2014J,55<=,Pass,63.5,2791,AAA-2014J
8462,London Region,DDD,2013J,55<=,Withdrawn,34.9,646,DDD-2013J
8462,London Region,DDD,2014J,55<=,Withdrawn,43.0,10,DDD-2014J
11391,East Anglian Region,AAA,2013J,55<=,Pass,82.4,934,AAA-2013J
23629,East Anglian Region,BBB,2013B,0-35,Fail,16.69,161,BBB-2013B
23698,East Anglian Region,CCC,2014J,0-35,Pass,149.97,910,CCC-2014J
23798,Wales,BBB,2013J,0-35,Distinction,89.24,590,BBB-2013J
24186,Yorkshire Region,GGG,2014B,0-35,Pass,0.0,184,GGG-2014B
24213,East Anglian Region,DDD,2014B,0-35,Pass,136.4,1992,DDD-2014B
24391,East Midlands Region,GGG,2013J,0-35,Distinction,0.0,712,GGG-2013J
24734,South Region,AAA,2014J,0-35,Pass,47.5,499,AAA-2014J
25107,East Anglian Region,BBB,2013B,0-35,Pass,60.51,2562,BBB-2013B
25150,North Western Region,EEE,2014B,0-35,Pass,82.72,2103,EEE-2014B
25261,Scotland,CCC,2014J,0-35,Withdrawn,1.56,997,CCC-2014J
25572,London Region,DDD,2014J,0-35,Withdrawn,7.0,113,DDD-2014J
25997,London Region,BBB,2014B,0-35,Withdrawn,14.14,13,BBB-2014B
26023,North Western Region,GGG,2013J,35-55,Pass,0.0,786,GGG-2013J
26192,East Anglian Region,AAA,2014J,35-55,Distinction,86.3,2223,AAA-2014J
26211,London Region,FFF,2014B,35-55,Pass,79.5,15205,FFF-2014B
26247,South East Region,FFF,2013J,35-55,Fail,11.0,478,FFF-2013J
26315,East Anglian Region,BBB,2014J,35-55,Pass,63.8,2451,BBB-2014J
26734,South West Region,BBB,2014J,0-35,Fail,18.5,210,BBB-2014J
27116,Yorkshire Region,CCC,2014J,0-35,Distinction,188.02,1847,CCC-2014J
27189,South Region,FFF,2014B,35-55,Fail,38.0,2638,FFF-2014B
27417,South West Region,DDD,2013J,0-35,Withdrawn,22.35,410,DDD-2013J
27417,South West Region,DDD,2014J,0-35,Withdrawn,28.05,100,DDD-2014J
27683,London Region,FFF,2014B,0-35,Pass,71.0,2129,FFF-2014B
27759,North Western Region,BBB,2013J,35-55,Fail,61.13,366,BBB-2013J
27780,Wales,EEE,2014B,0-35,Pass,42.6,553,EEE-2014B
27891,Scotland,BBB,2013B,0-35,Withdrawn,27.81,301,BBB-2013B
27891,Scotland,BBB,2014B,0-35,Fail,27.81,47,BBB-2014B
27935,East Anglian Region,DDD,2013J,0-35,Fail,44.98,813,DDD-2013J
28046,Yorkshire Region,DDD,2013J,35-55,Fail,89.9,661,DDD-2013J
28061,Yorkshire Region,AAA,2014J,35-55,Pass,77.4,1590,AAA-2014J
28400,Scotland,AAA,2013J,35-55,Pass,65.4,1435,AAA-2013J
28418,West Midlands Region,CCC,2014B,0-35,Fail,2.91,328,CCC-2014B
28787,South East Region,CCC,2014J,35-55,Pass,55.98,645,CCC-2014J
28808,South Region,FFF,2014B,0-35,Fail,17.5,232,FFF-2014B
28897,South West Region,FFF,2014B,0-35,Distinction,88.5,3367,FFF-2014B
28952,Yorkshire Region,CCC,2014J,0-35,Withdrawn,6.02,105,CCC-2014J
